// HASH_VALUE EFC920A759BAC04B
// INDEX 0
tribe_declare_war_title	[Aussenposten mit Gewalt einnehmen.]
mis_kill_race_loc_2	[Gehe nach $p$ und töte :\n
	 - $q1$ von jeder Art der $c1$\n
	 - $q2$ von jeder Art der $c2$]

// HASH_VALUE 92BABF5D5538F02E
// INDEX 44
mis_kill_race_loc_3	[Gehe nach $p$ und töte :\n
	 - $q1$ von jeder Art der $c1$\n
	 - $q2$ von jeder Art der $c2$\n
	 - $q3$ von jeder Art der $c3$]

// HASH_VALUE 090125508BEFC21A
// INDEX 45
mis_kill_race_loc_4	[Gehe nach $p$ und töte :\n
	 - $q1$ von jeder Art der $c1$\n
	 - $q2$ von jeder Art der $c2$\n
	 - $q3$ von jeder Art der $c3$\n
	 - $q4$ von jeder Art der $c4$]

// HASH_VALUE A02AD9B1745B7EDA
// INDEX 46
mis_kill_group_1	[!!! TO DO !!!]

// HASH_VALUE 483D800BF5C076EF
// INDEX 47
mis_kill_npc_1	[Töte $b1$]

// HASH_VALUE 17CD7022D557888D
// INDEX 48
mis_kill_npc_2	[Töte :\n
	 - $b1$\n
	 - $b2$]

// HASH_VALUE 210D5BDBD52598B6
// INDEX 49
mis_kill_npc_3	[Töte :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$]

// HASH_VALUE B94FDB08208028EA
// INDEX 50
mis_kill_npc_4	[Töte :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$\n
	 - $b4$]

// HASH_VALUE 0351597584C56F1D
// INDEX 51
mis_kill_npc_loc_1	[Gehe nach $p$ und töte $b1$]

// HASH_VALUE 42B3952713A5E000
// INDEX 52
mis_kill_npc_loc_2	[Gehe nach $p$ und töte :\n
	 - $b1$\n
	 - $b2$]

// HASH_VALUE 4A8515311CD86924
// INDEX 53
mis_kill_npc_loc_3	[Gehe nach $p$ und töte :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$]

// HASH_VALUE 5257953B251BF248
// INDEX 54
mis_kill_npc_loc_4	[Gehe nach $p$ und töte :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$\n
	 - $b4$]

// HASH_VALUE 99951C51E300326B
// INDEX 55
mis_give_item_1	[Übergebe $q1$ $i1$ an $b$]

// HASH_VALUE C843EA91DA022178
// INDEX 56
mis_give_item_2	[Übergebe :\n
	 - $q1$ $i1$\n
	 - $q2$ $i2$\n
	 an $b$]

// HASH_VALUE 205247DDAB963106
// INDEX 57
mis_give_item_3	[Übergebe :\n
	 - $q1$ $i1$\n
	 - $q2$ $i2$\n
	 - $q3$ $i3$\n
	 an $b$]

// HASH_VALUE 7696803E280B614E
// INDEX 58
mis_give_item_4	[Übergebe :\n
	 - $q1$ $i1$\n
	 - $q2$ $i2$\n
	 - $q3$ $i3$\n
	 - $q4$ $i4$\n
	 an $b$]

// HASH_VALUE 4B5AA49739F3E641
// INDEX 59
mis_give_item_5	[Übergebe :\n
	 - $q1$ $i1$\n
	 - $q2$ $i2$\n
	 - $q3$ $i3$\n
	 - $q4$ $i4$\n
	 - $q5$ $i5$\n
	 an $b$]

// HASH_VALUE EE7073EE4C984A85
// INDEX 60
mis_give_item_6	[Übergebe :\n
	 - $q1$ $i1$\n
	 - $q2$ $i2$\n
	 - $q3$ $i3$\n
	 - $q4$ $i4$\n
	 - $q5$ $i5$\n
	 - $q6$ $i6$\n
	 an $b$]

// HASH_VALUE C1F92FE4D5674A64
// INDEX 61
mis_give_item_7	[Geben Sie $b$ :\n
	                         - $q1$ $i1$\n
	                         - $q2$ $i2$\n
	                         - $q3$ $i3$\n
	                         - $q4$ $i4$\n
	                         - $q5$ $i5$\n
	                         - $q6$ $i6$\n
	                         - $q7$ $i7$\n
	                         ]

// HASH_VALUE E2013F7CCBF12A5A
// INDEX 62
mis_give_item_8	[Geben Sie $b$ :\n
	                         - $q1$ $i1$\n
	                         - $q2$ $i2$\n
	                         - $q3$ $i3$\n
	                         - $q4$ $i4$\n
	                         - $q5$ $i5$\n
	                         - $q6$ $i6$\n
	                         - $q7$ $i7$\n
	                         - $q8$ $i8$\n
	                        ]

// HASH_VALUE 0C9C1820EB398E35
// INDEX 63
mis_give_item_9	[Geben Sie $b$ :\n
	                         - $q1$ $i1$\n
	                         - $q2$ $i2$\n
	                         - $q3$ $i3$\n
	                         - $q4$ $i4$\n
	                         - $q5$ $i5$\n
	                         - $q6$ $i6$\n
	                         - $q7$ $i7$\n
	                         - $q8$ $i8$\n
	                         - $q9$ $i9$\n
	                        ]

// HASH_VALUE 80D4DF6D62346E95
// INDEX 64
mis_give_item_10	[Geben Sie $b$:\n
	                         - $q1$ $i1$\n
	                         - $q2$ $i2$\n
	                         - $q3$ $i3$\n
	                         - $q4$ $i4$\n
	                         - $q5$ $i5$\n
	                         - $q6$ $i6$\n
	                         - $q7$ $i7$\n
	                         - $q8$ $i8$\n
	                         - $q9$ $i9$\n
	                         - $q10$ $i10$\n
	                         ]

// HASH_VALUE A01C4B22228F1346
// INDEX 65
mis_give_item_11	[Geben Sie $b$:\n
	                         - $q1$ $i1$\n
	                         - $q2$ $i2$\n
	                         - $q3$ $i3$\n
	                         - $q4$ $i4$\n
	                         - $q5$ $i5$\n
	                         - $q6$ $i6$\n
	                         - $q7$ $i7$\n
	                         - $q8$ $i8$\n
	                         - $q9$ $i9$\n
	                         - $q10$ $i10$\n
	                         - $q11$ $i11$\n
	                        ]

// HASH_VALUE FBF8618CD24C770A
// INDEX 66
mis_give_item_12	[Geben Sie $b$ :\n
	                         - $q1$ $i1$\n
	                         - $q2$ $i2$\n
	                         - $q3$ $i3$\n
	                         - $q4$ $i4$\n
	                         - $q5$ $i5$\n
	                         - $q6$ $i6$\n
	                         - $q7$ $i7$\n
	                         - $q8$ $i8$\n
	                         - $q9$ $i9$\n
	                         - $q10$ $i10$\n
	                         - $q11$ $i11$\n
	                         - $q12$ $i12$\n
	                        ]

// HASH_VALUE CCA3D8F1B50E59FA
// INDEX 67
mis_give_item_qual_1	[Übergebe $q1$ $i1$ mit einer Mindestqualität von $ql1$ an $b$]

// HASH_VALUE 484F583E4E1EC551
// INDEX 68
mis_give_item_qual_2	[Übergebe :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 an $b$]

// HASH_VALUE 72EF473FB45AE465
// INDEX 69
mis_give_item_qual_3	[Übergebe :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 an $b$]

// HASH_VALUE 3CBA4FDCB3E03815
// INDEX 70
mis_give_item_qual_4	[Übergebe :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	 an $b$]

// HASH_VALUE 69E7CADED33FFF3F
// INDEX 71
mis_give_item_qual_5	[Übergebe :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	 - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	 an $b$]

// HASH_VALUE 57BABFD98C9A4D89
// INDEX 72
mis_give_item_qual_6	[Give :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	 - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	 - $q6$ $i6$ mit einer Mindestqualität von $ql6$\n
	 an $b$]

// HASH_VALUE AD1BC639A57782FB
// INDEX 73
mis_give_item_qual_7	[Geben Sie $b$ :\n
	                         - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	                         - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	                         - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	                         - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	                         - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	                         - $q6$ $i6$ mit einer Mindestqualität von $ql6$\n
	                         - $q7$ $i7$ mit einer Mindestqualität von $ql7$\n
	                         ]

// HASH_VALUE AC986DBF14C5B0A1
// INDEX 74
mis_give_item_qual_8	[Geben Sie $b$:\n
	                         - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	                         - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	                         - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	                         - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	                         - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	                         - $q6$ $i6$ mit einer Mindestqualität von $ql6$\n
	                         - $q7$ $i7$ mit einer Mindestqualität von $ql7$\n
	                         - $q8$ $i8$ mit einer Mindestqualität von $ql8$\n
	                ]

// HASH_VALUE 377992E3702611E4
// INDEX 75
mis_give_item_qual_9	[Geben Sie $b$ :\n
	                         - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	                         - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	                         - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	                         - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	                         - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	                         - $q6$ $i6$ mit einer Mindestqualität von $ql6$\n
	                         - $q7$ $i7$ mit einer Mindestqualität von $ql7$\n
	                         - $q8$ $i8$ mit einer Mindestqualität von $ql8$\n
	                         - $q9$ $i9$ mit einer Mindestqualität von $ql9$\n
	                        ]

// HASH_VALUE 936D646DC9E71104
// INDEX 76
mis_give_item_qual_10	[Geben Sie $b$:\n
	                         - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	                         - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	                         - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	                         - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	                         - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	                         - $q6$ $i6$ mit einer Mindestqualität von $ql6$\n
	                         - $q7$ $i7$ mit einer Mindestqualität von $ql7$\n
	                         - $q8$ $i8$ mit einer Mindestqualität von $ql8$\n
	                         - $q9$ $i9$ mit einer Mindestqualität von $ql9$\n
	                         - $q10$ $i10$ mit einer Mindestqualität von $ql10$\n
	                         ]

// HASH_VALUE 007AE7E5626B4DCF
// INDEX 77
mis_give_item_qual_11	[Geben Sie $b$:\n
	                         - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	                         - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	                         - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	                         - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	                         - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	                         - $q6$ $i6$ mit einer Mindestqualität von $ql6$\n
	                         - $q7$ $i7$ mit einer Mindestqualität von $ql7$\n
	                         - $q8$ $i8$ mit einer Mindestqualität von $ql8$\n
	                         - $q9$ $i9$ mit einer Mindestqualität von $ql9$\n
	                         - $q10$ $i10$ mit einer Mindestqualität von $ql10$\n
	                         - $q11$ $i11$ mit einer Mindestqualität von $ql11$\n
	                         ]

// HASH_VALUE 99FE27B0CF88D048
// INDEX 78
mis_give_item_qual_12	[Geben Sie $b$:\n
	                         - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	                         - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	                         - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	                         - $q4$ $i4$ mit einer Mindestqualität von $ql4$\n
	                         - $q5$ $i5$ mit einer Mindestqualität von $ql5$\n
	                         - $q6$ $i6$ mit einer Mindestqualität von $ql6$\n
	                         - $q7$ $i7$ mit einer Mindestqualität von $ql7$\n
	                         - $q8$ $i8$ mit einer Mindestqualität von $ql8$\n
	                         - $q9$ $i9$ mit einer Mindestqualität von $ql9$\n
	                         - $q10$ $i10$ mit einer Mindestqualität von $ql10$\n
	                         - $q11$ $i11$ mit einer Mindestqualität von $ql11$\n
	                         - $q12$ $i12$ mit einer Mindestqualität von $ql12$\n
	                         ]

// HASH_VALUE 55CE2E0298649F54
// INDEX 79
mis_teach_action	[Lehre $b$ $action$]

// HASH_VALUE 55D4367DD9384E71
// INDEX 80
mis_target_npc_1	[Finde und erfasse $b1$]

// HASH_VALUE B96331D389926D0B
// INDEX 81
mis_target_npc_2	[Finde und erfasse :\n
	 - $b1$\n
	 - $b2$]

// HASH_VALUE 3BA5FD359294212B
// INDEX 82
mis_target_npc_3	[Finde und erfasse :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$]

// HASH_VALUE BDE7CD979B96D54B
// INDEX 83
mis_target_npc_4	[Finde und erfasse :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$\n
	 - $b4$]

// HASH_VALUE C5A1B6F66DE01688
// INDEX 84
mis_target_npc_place_1	[Finden und zielen Sie auf $b1$ in $p$.]

// HASH_VALUE 974452BC2EE4EFDC
// INDEX 85
mis_target_npc_place_2	[Finden und zielen Sie auf :\n
	 - $b1$\n
	 - $b2$\n
	in $p$]

// HASH_VALUE 19861E1E37E6A3FC
// INDEX 86
mis_target_npc_place_3	[Finden und zielen Sie auf :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$\n
	in $p$]

// HASH_VALUE 9BC8EE8040E8571C
// INDEX 87
mis_target_npc_place_4	[Finden und zielen Sie auf :\n
	 - $b1$\n
	 - $b2$\n
	 - $b3$\n
	 - $b4$\n
	in $p$]

// HASH_VALUE 65C0253329884D2D
// INDEX 88
mis_target_fauna_1	[Finde und erfasse $c1.ia$ $c1$]

// HASH_VALUE 6D27BD9B9B968DCD
// INDEX 89
mis_target_fauna_2	[Finde und erfasse :\n
	 - $c1.ia$ $c1$\n
	 - $c2.ia$ $c2$]

// HASH_VALUE 494B5561AD9AD14E
// INDEX 90
mis_target_fauna_3	[Finde und erfasse :\n
	 - $c1.ia$ $c1$\n
	 - $c2.ia$ $c2$\n
	 - $c3.ia$ $c3$]

// HASH_VALUE 256FF527BF9E15CF
// INDEX 91
mis_target_fauna_4	[Finde und erfasse :\n
	 - $c1.ia$ $c1$\n
	 - $c2.ia$ $c2$\n
	 - $c3.ia$ $c3$\n
	 - $c4.ia$ $c4$]

// HASH_VALUE 74C884D023AA08C1
// INDEX 92
mis_target_fauna_place_1	[Finden und zielen Sie auf einen $c1$ in $p$]

// HASH_VALUE 4B08DE8440E80F9E
// INDEX 93
mis_target_fauna_place_2	[Finden und zielen Sie auf :\n
	 - $c1.ia$ $c1$\n
	 - $c2.ia$ $c2$\n
	in $p$]

// HASH_VALUE 272C764A52EC531F
// INDEX 94
mis_target_fauna_place_3	[Finden und zielen Sie auf :\n
	 - $c1.ia$ $c1$\n
	 - $c2.ia$ $c2$\n
	 - $c3.ia$ $c3$\n
	in $p$]

// HASH_VALUE 0350161064F097A0
// INDEX 95
mis_target_fauna_place_4	[Finden und zielen Sie auf :\n
	 - $c1.ia$ $c1$\n
	 - $c2.ia$ $c2$\n
	 - $c3.ia$ $c3$\n
	 - $c4.ia$ $c4$\n
	in $p$]

// HASH_VALUE EDC0253329884D2D
// INDEX 96
mis_target_species_1	[Finde und erfasse $r1.ia$ $r1$]

// HASH_VALUE 6D27BDD79B968DCD
// INDEX 97
mis_target_species_2	[Finde und erfasse :\n
	 - $r1.ia$ $r1$\n
	 - $r2.ia$ $r2$]

// HASH_VALUE 494B55BBAD9AD14E
// INDEX 98
mis_target_species_3	[Finde und erfasse :\n
	 - $r1.ia$ $r1$\n
	 - $r2.ia$ $r2$\n
	 - $r3.ia$ $r3$]

// HASH_VALUE 256FF59FBF9E15CF
// INDEX 99
mis_target_species_4	[Finde und erfasse :\n
	 - $r1.ia$ $r1$\n
	 - $r2.ia$ $r2$\n
	 - $r3.ia$ $r3$\n
	 - $r4.ia$ $r4$]

// HASH_VALUE 65E3361AC57616B9
// INDEX 100
mis_target_species_place_1	[Finden und zielen Sie auf $r1.ia$ $r1$ in $p$]

// HASH_VALUE 4B08DEC040E80F9E
// INDEX 101
mis_target_species_place_2	[Finden und zielen Sie auf :\n
	 - $r1.ia$ $r1$\n
	 - $r2.ia$ $r2$\n
	in $p$]

// HASH_VALUE 272C76A452EC531F
// INDEX 102
mis_target_species_place_3	[Finden und zielen Sie auf :\n
	 - $r1.ia$ $r1$\n
	 - $r2.ia$ $r2$\n
	 - $r3.ia$ $r3$\n
	in $p$]

// HASH_VALUE EB95BE400F304EE5
// INDEX 103
mis_target_species_place_4	[Finden und zielen Sie auf:\n
	 - $r1.ia$ $r1$\n
	 - $r2.ia$ $r2$\n
	 - $r3.ia$ $r3$\n
	 - $r4.ia$ $r4$\n
	in $p$]

// HASH_VALUE 723264FD5D4C99D0
// INDEX 104
mis_sell_1	[Verkaufe $q1$ $i1$ mit einer Mindestqualität von $ql1$]

// HASH_VALUE 7DFAD498B3488541
// INDEX 105
mis_sell_2	[Verkaufe :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$]

// HASH_VALUE 187ED34B5C98FC3B
// INDEX 106
mis_sell_3	[Verkaufe :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $q3$ $i3$ mit einer Mindestqualität von $ql3$]

// HASH_VALUE 7189A2F5AB80E8AD
// INDEX 107
mis_sell_4	[Verkaufe :\n
	 - $q1$ $i1$ mit einer Mindestqualität von $ql1$\n
	 - $q2$ $i2$ mit einer Mindestqualität von $ql2$\n
	 - $q3$ $i3$ mit einer Mindestqualität von $ql3$\n
	 - $q4$ $i4$ mit einer Mindestqualität von $ql4$]

// HASH_VALUE 0A74E46BB54E99F4
// INDEX 108
mis_sell_npc_1	[Verkaufe $q1$ $i1$ mit einer Mindestqualität von $ql1$ an $b$]

