*HASH_VALUE,creature ID,name,ia,da,p,pia,pda,cc,pr
_E0260798D3C2F578,caapf1,Baldusa horrifiant,un,le,Baldusas horrifiants,des,les,du,au
_21E5CEB9CAF3885F,caapf2,Baldusa atroce,un,le,Baldusas atroces,des,les,du,au
_9D01BE7281CA0575,caapf3,Baldusa funeste,un,le,Baldusas funestes,des,les,du,au
_053FC2683CAA34B3,cabda1,Petit Prakker,un,le,Petits Prakkers,des,les,du,au
_19E5F66F0705ED3A,cabda2,Prakker primitif,un,le,Prakkers primitifs,des,les,du,au
_03B56A97FDEE515F,cabda3,Prakker apaisé,un,le,Prakkers apaisés,des,les,du,au
_2E7F2D0A773E4CB8,cabda4,Prakker rapide,un,le,Prakkers rapides,des,les,du,au
_7310210E7A4E40B9,cabdb1,Prakker gluant,un,le,Prakkers gluants,des,les,du,au
_85FEBE58BD1A5CB7,cabdb2,Prakker ordinaire,un,le,Prakkers ordinaires,des,les,du,au
_1775EE2184EC230A,cabdb3,Prakker en chasse,un,le,Prakkers en chasse,des,les,du,au
_32B04D12F42D4CB9,cabdb4,Prakker adulte,un,le,Prakkers adultes,des,les,du,au
_61B832AEE534BD6D,cabdc1,Prakker très vigoureux,un,le,Prakkers très vigoureux,des,les,du,au
_D535D66B05C4E12F,cabdc2,Prakker défensif,un,le,Prakkers défensifs,des,les,du,au
_5671DA7F3D2A217F,cabdc3,Prakker fouilleur,un,le,Prakkers fouilleurs,des,les,du,au
_980FB6797FC80179,cabdc4,Prakker pétrifiant,un,le,Prakkers pétrifiants,des,les,du,au
_5A76222E884C1B13,cabdd1,Prakker embusqué,un,le,Prakkers embusqués,des,les,du,au
_1AE0E27F01992580,cabdd2,Prakker rôdeur,un,le,Prakkers rôdeurs,des,les,du,au
_1CF29974066B0372,cabdd3,Prakker furieux,un,le,Prakkers furieux,des,les,du,au
_7B77390568560418,cabdd4,Prakker indompté,un,le,Prakkers indomptés,des,les,du,au
_562516660985F547,cabde1,Prakker énorme,un,le,Prakkers énormes,des,les,du,au
_5720CA8D3ED90D8F,cabde2,Prakker insatiable,un,le,Prakkers insatiables,des,les,du,au
_7B7789EF66140019,cabde3,Prakker mauvais,un,le,Prakkers mauvais,des,les,du,au
_1A44FEBE8B443C53,cabde4,Prakker attaquant,un,le,Prakkers attaquants,des,les,du,au
_97B713A99BE11171,cabdf1,Prakker horrifiant,un,le,Prakkers horrifiants,des,les,du,au
_5CA42EBC0EE55066,cabdf2,Prakker atroce,un,le,Prakkers atroces,des,les,du,au
_9B81D675823A1D78,cabdf3,Prakker funeste,un,le,Prakkers funestes,des,les,du,au
_853FC2683CAA34B3,cabfa1,Petit Prakker,un,le,Petits Prakkers,des,les,du,au
_99E5F66F0705ED3A,cabfa2,Prakker primitif,un,le,Prakkers primitifs,des,les,du,au
_83B56A97FDEE515F,cabfa3,Prakker apaisé,un,le,Prakkers apaisés,des,les,du,au
_AE7F2D0A773E4CB8,cabfa4,Prakker rapide,un,le,Prakkers rapides,des,les,du,au
_F310210E7A4E40B9,cabfb1,Prakker gluant,un,le,Prakkers gluants,des,les,du,au
_05FEBE58BD1A5CB7,cabfb2,Prakker ordinaire,un,le,Prakkers ordinaires,des,les,du,au
_9775EE2184EC230A,cabfb3,Prakker en chasse,un,le,Prakkers en chasse,des,les,du,au
_B2B04D12F42D4CB9,cabfb4,Prakker adulte,un,le,Prakkers adultes,des,les,du,au
_E1B832AEE534BD6D,cabfc1,Prakker très vigoureux,un,le,Prakkers très vigoureux,des,les,du,au
_5535D66B05C4E12F,cabfc2,Prakker défensif,un,le,Prakkers défensifs,des,les,du,au
_D671DA7F3D2A217F,cabfc3,Prakker fouilleur,un,le,Prakkers fouilleurs,des,les,du,au
_DA76222E884C1B13,cabfd1,Prakker embusqué,un,le,Prakkers embusqués,des,les,du,au
_9AE0E27F01992580,cabfd2,Prakker rôdeur,un,le,Prakkers rôdeurs,des,les,du,au
_9CF29974066B0372,cabfd3,Prakker furieux,un,le,Prakkers furieux,des,les,du,au
_FB77390568560418,cabfd4,Prakker indompté,un,le,Prakkers indomptés,des,les,du,au
_D62516660985F547,cabfe1,Prakker énorme,un,le,Prakkers énormes,des,les,du,au
_D720CA8D3ED90D8F,cabfe2,Prakker insatiable,un,le,Prakkers insatiables,des,les,du,au
_FB7789EF66140019,cabfe3,Prakker mauvais,un,le,Prakkers mauvais,des,les,du,au
_9A44FEBE8B443C53,cabfe4,Prakker attaquant,un,le,Prakkers attaquants,des,les,du,au
_17B713A99BE11171,cabff1,Prakker horrifiant,un,le,Prakkers horrifiants,des,les,du,au
_DCA42EBC0EE55066,cabff2,Prakker atroce,un,le,Prakkers atroces,des,les,du,au
_1B81D675823A1D78,cabff3,Prakker funeste,un,le,Prakkers funestes,des,les,du,au
_863FC2683CAA34B3,cabja1,Petit Prakker,un,le,Petits Prakkers,des,les,du,au
_9AE5F66F0705ED3A,cabja2,Prakker primitif,un,le,Prakkers primitifs,des,les,du,au
_84B56A97FDEE515F,cabja3,Prakker apaisé,un,le,Prakkers apaisés,des,les,du,au
_AF7F2D0A773E4CB8,cabja4,Prakker rapide,un,le,Prakkers rapides,des,les,du,au
_F410210E7A4E40B9,cabjb1,Prakker gluant,un,le,Prakkers gluants,des,les,du,au
_06FEBE58BD1A5CB7,cabjb2,Prakker ordinaire,un,le,Prakkers ordinaires,des,les,du,au
_9875EE2184EC230A,cabjb3,Prakker en chasse,un,le,Prakkers en chasse,des,les,du,au
_B3B04D12F42D4CB9,cabjb4,Prakker adulte,un,le,Prakkers adultes,des,les,du,au
_E2B832AEE534BD6D,cabjc1,Prakker très vigoureux,un,le,Prakkers très vigoureux,des,les,du,au
_5635D66B05C4E12F,cabjc2,Prakker défensif,un,le,Prakkers défensifs,des,les,du,au
_D771DA7F3D2A217F,cabjc3,Prakker fouilleur,un,le,Prakkers fouilleurs,des,les,du,au
_190FB6797FC80179,cabjc4,Prakker pétrifiant,un,le,Prakkers pétrifiants,des,les,du,au
_DB76222E884C1B13,cabjd1,Prakker embusqué,un,le,Prakkers embusqués,des,les,du,au
_9BE0E27F01992580,cabjd2,Prakker rôdeur,un,le,Prakkers rôdeurs,des,les,du,au
_9DF29974066B0372,cabjd3,Prakker furieux,un,le,Prakkers furieux,des,les,du,au
_FC77390568560418,cabjd4,Prakker indompté,un,le,Prakkers indomptés,des,les,du,au
_D72516660985F547,cabje1,Prakker énorme,un,le,Prakkers énormes,des,les,du,au
_D820CA8D3ED90D8F,cabje2,Prakker insatiable,un,le,Prakkers insatiables,des,les,du,au
_FC7789EF66140019,cabje3,Prakker mauvais,un,le,Prakkers mauvais,des,les,du,au
_9B44FEBE8B443C53,cabje4,Prakker attaquant,un,le,Prakkers attaquants,des,les,du,au
_18B713A99BE11171,cabjf1,Prakker horrifiant,un,le,Prakkers horrifiants,des,les,du,au
_DDA42EBC0EE55066,cabjf2,Prakker atroce,un,le,Prakkers atroces,des,les,du,au
_1C81D675823A1D78,cabjf3,Prakker funeste,un,le,Prakkers funestes,des,les,du,au
_073FC2683CAA34B3,cabla1,Petit Prakker,un,le,Petits Prakkers,des,les,du,au
_1BE5F66F0705ED3A,cabla2,Prakker primitif,un,le,Prakkers primitifs,des,les,du,au
_05B56A97FDEE515F,cabla3,Prakker apaisé,un,le,Prakkers apaisés,des,les,du,au
_307F2D0A773E4CB8,cabla4,Prakker rapide,un,le,Prakkers rapides,des,les,du,au
_083FC2683CAA34B3,cabpa1,Petit Prakker,un,le,Petits Prakkers,des,les,du,au
_1CE5F66F0705ED3A,cabpa2,Prakker primitif,un,le,Prakkers primitifs,des,les,du,au
_06B56A97FDEE515F,cabpa3,Prakker apaisé,un,le,Prakkers apaisés,des,les,du,au
_317F2D0A773E4CB8,cabpa4,Prakker rapide,un,le,Prakkers rapides,des,les,du,au
_7610210E7A4E40B9,cabpb1,Prakker gluant,un,le,Prakkers gluants,des,les,du,au
_88FEBE58BD1A5CB7,cabpb2,Prakker ordinaire,un,le,Prakkers ordinaires,des,les,du,au
_1A75EE2184EC230A,cabpb3,Prakker en chasse,un,le,Prakkers en chasse,des,les,du,au
_35B04D12F42D4CB9,cabpb4,Prakker adulte,un,le,Prakkers adultes,des,les,du,au
_64B832AEE534BD6D,cabpc1,Prakker très vigoureux,un,le,Prakkers très vigoureux,des,les,du,au
_D835D66B05C4E12F,cabpc2,Prakker défensif,un,le,Prakkers défensifs,des,les,du,au
_5971DA7F3D2A217F,cabpc3,Prakker fouilleur,un,le,Prakkers fouilleurs,des,les,du,au
_9B0FB6797FC80179,cabpc4,Prakker pétrifiant,un,le,Prakkers pétrifiants,des,les,du,au
_5D76222E884C1B13,cabpd1,Prakker embusqué,un,le,Prakkers embusqués,des,les,du,au
_1DE0E27F01992580,cabpd2,Prakker rôdeur,un,le,Prakkers rôdeurs,des,les,du,au
_1FF29974066B0372,cabpd3,Prakker furieux,un,le,Prakkers furieux,des,les,du,au
_7E77390568560418,cabpd4,Prakker indompté,un,le,Prakkers indomptés,des,les,du,au
_592516660985F547,cabpe1,Prakker énorme,un,le,Prakkers énormes,des,les,du,au
_5A20CA8D3ED90D8F,cabpe2,Prakker insatiable,un,le,Prakkers insatiables,des,les,du,au
_7E7789EF66140019,cabpe3,Prakker mauvais,un,le,Prakkers mauvais,des,les,du,au
_1D44FEBE8B443C53,cabpe4,Prakker attaquant,un,le,Prakkers attaquants,des,les,du,au
_9AB713A99BE11171,cabpf1,Prakker horrifiant,un,le,Prakkers horrifiants,des,les,du,au
_5FA42EBC0EE55066,cabpf2,Prakker atroce,un,le,Prakkers atroces,des,les,du,au
_9E81D675823A1D78,cabpf3,Prakker funeste,un,le,Prakkers funestes,des,les,du,au
_D4F03E57EF0E24F6,cbada1,Igara novice,un,l'\d,Igaras novices,des,les,de l'\d,à l'\d
_8B0F2D2D62743C71,cbada2,Igara secondaire,un,l'\d,Igaras secondaires,des,les,de l'\d,à l'\d
_05EF352362D44071,cbada3,Igara tempéré,un,l'\d,Igaras tempérés,des,les,de l'\d,à l'\d
_BE1025FB33A75F1D,cbada4,Igara grandissant,un,l'\d,Igaras grandissants,des,les,de l'\d,à l'\d
_850FCD2B66D43872,cbadb1,Igara repu,un,l'\d,Igaras repus,des,les,de l'\d,à l'\d
_8B8FCD1F6AB63C72,cbadb2,Igara commun,un,l'\d,Igaras communs,des,les,de l',à l'
_3FB019062F964F12,cbadb3,Igara gavé,un,l'\d,Igaras gavés,des,les,de l',à l'
_E63B290DEA693377,cbadb4,Igara intimidant,un,l'\d,Igaras intimidants,des,les,de l',à l'
_7BEF120F3F0A7010,cbadc1,Igara vigilant,un,l'\d,Igaras vigilants,des,les,de l',à l'
_0FB1CD236AF43C73,cbadc2,Igara vorace,un,l'\d,Igaras voraces,des,les,de l',à l'
_DA344625C1FD8925,cbadc3,Igara pilleur,un,l'\d,Igaras pilleurs,des,les,de l',à l'
_BE1035F5F0365F1F,cbadc4,Igara pénétrant,un,l'\d,Igaras pénétrants,des,les,de l',à l'
_01DF09F773D78333,cbadd1,Igara brutal,un,l'\d,Igaras brutaux,des,les,de l',à l'
_1640A25E2A6F28F6,cbadd2,Igara malveillant,un,l'\d,Igaras malveillants,des,les,de l',à l'
_BE9F11FDB2465B20,cbadd3,Igara moqueur,un,l'\d,Igaras moqueurs,des,les,de l',à l'
_FE1069FEACA67B28,cbadd4,Igara charognard,un,l'\d,Igaras charognards,des,les,de l',à l'
_FC3FE9FE35B77F23,cbade1,Igara pourchassant,un,l'\d,Igaras pourchassants,des,les,de l',à l'
_7BC00A14FCEA5818,cbade2,Igara instable,un,l'\d,Igaras instables,des,les,de l',à l'
_52936182540E617E,cbade3,Igara terrorisant,un,l'\d,Igaras terrorisants,des,les,de l',à l'
_D6009269AD603CFD,cbade4,Igara avide,un,l'\d,Igaras avides,des,les,de l',à l'
_45C06D13DE4AABCE,cbaga1,Igara impur,un,l'\d,Igaras impurs,des,les,de l',à l'
_7FCF16FDFC398001,cbaga2,Igara tuméfié,un,l'\d,Igaras tuméfiés,des,les,de l',à l'
_D2C02B80A3E41D47,cbaga3,Igara contaminé,un,l'\d,Igaras contaminés,des,les,de l',à l'
_C043E96D3C3A70ED,cbaga4,Igara infecté,un,l'\d,Igaras infectés,des,les,de l',à l'
_40601A15FCFAA40F,cbagb1,Igara  écœurant,un,l'\d,Igaras écœurants,des,les,de l',à l'
_7EFF520EBEDA600E,cbagb2,Igara puant,un,l'\d,Igaras puants,des,les,de l',à l'
_458FA52B66944072,cbagb3,Igara morbide,un,l'\d,Igaras morbides,des,les,de l',à l'
_003F520BBC1A7009,cbagb4,Igara empoisonné,un,l'\d,Igaras empoisonnés,des,les,de l',à l'
_3F20F9F8B3774713,cbagc1,Igara souffrant,un,l'\d,Igaras souffrants,des,les,de l',à l'
_02CF11F7B2A73AE3,cbagc2,Igara fiévreux,un,l'\d,Igaras fiévreux,des,les,de l',à l'
_A4042634CBCD6934,cbagc3,Igara putréfié,un,l'\d,Igaras putréfiés,des,les,de l',à l'
_3FA0421A3F0A8C10,cbagc4,Igara venimeux,un,l'\d,Igaras venimeux,des,les,de l',à l'
_BBDF350270974714,cbagd1,Igara ravagé,un,l'\d,Igaras ravagés,des,les,de l',à l'
_98607E652D6F2009,cbagd2,Igara poisseux,un,l'\d,Igaras poisseux,des,les,de l',à l'
_92E4958A13E0C977,cbagd3,Igara pestilentiel,un,l'\d,Igaras pestilentiels,des,les,de l',à l'
_C52FDD3360364474,cbagd4,Igara délirant,un,l'\d,Igaras délirants,des,les,de l',à l'
_1762D66CB2707810,cbage1,Igara pustuleux,un,l'\d,Igaras pustuleux,des,les,de l',à l'
_7EF02DF5B1A75721,cbage2,Igara suintant,un,l'\d,Igaras suintants,des,les,de l',à l'
_7EBF11FBF0D65B21,cbage3,Igara écumant,un,l'\d,Igaras écumants,des,les,de l',à l'
_DAD09A682D504405,cbage4,Igara répugnant,un,l'\d,Igaras répugnants,des,les,de l',à l'
_FF6FF2033A597C0C,cbagf1,Igara dément,un,l'\d,Igaras déments,des,les,de l',à l'
_7EB04AFD7D795418,cbagf2,Igara frénétique,un,l'\d,Igaras frénétiques,des,les,de l',à l'
_7E4F26FD3C5A6810,cbagf3,Igara démoniaque,un,l'\d,Igaras démoniaques,des,les,de l',à l'
_55F03E57EF0E24F6,cbaja1,Igara novice,un,l'\d,Igaras novices,des,les,de l',à l'
_0C0F2D2D62743C71,cbaja2,Igara secondaire,un,l'\d,Igaras secondaires,des,les,de l',à l'
_86EF352362D44071,cbaja3,Igara tempéré,un,l'\d,Igaras tempérés,des,les,de l',à l'
_3F1025FB33A75F1D,cbaja4,Igara grandissant,un,l'\d,Igaras grandissants,des,les,de l',à l'
_060FCD2B66D43872,cbajb1,Igara repu,un,l'\d,Igaras repus,des,les,de l',à l'
_0C8FCD1F6AB63C72,cbajb2,Igara commun,un,l'\d,Igaras communs,des,les,de l',à l'
_C0B019062F964F12,cbajb3,Igara gavé,un,l'\d,Igaras gavés,des,les,de l',à l'
_673B290DEA693377,cbajb4,Igara intimidant,un,l'\d,Igaras intimidants,des,les,de l',à l'
_FCEF120F3F0A7010,cbajc1,Igara vigilant,un,l'\d,Igaras vigilants,des,les,de l',à l'
_90B1CD236AF43C73,cbajc2,Igara vorace,un,l'\d,Igaras voraces,des,les,de l',à l'
_5B344625C1FD8925,cbajc3,Igara pilleur,un,l'\d,Igaras pilleurs,des,les,de l',à l'
_3F1035F5F0365F1F,cbajc4,Igara pénétrant,un,l'\d,Igaras pénétrants,des,les,de l',à l'
_82DF09F773D78333,cbajd1,Igara brutal,un,l'\d,Igaras brutaux,des,les,de l',à l'
_9740A25E2A6F28F6,cbajd2,Igara malveillant,un,l'\d,Igaras malveillants,des,les,de l',à l'
_3F9F11FDB2465B20,cbajd3,Igara moqueur,un,l'\d,Igaras moqueurs,des,les,de l',à l'
_7F1069FEACA67B28,cbajd4,Igara charognard,un,l'\d,Igaras charognards,des,les,de l',à l'
_7D3FE9FE35B77F23,cbaje1,Igara pourchassant,un,l'\d,Igaras pourchassants,des,les,de l',à l'
_FCC00A14FCEA5818,cbaje2,Igara instable,un,l'\d,Igaras instables,des,les,de l',à l'
_D3936182540E617E,cbaje3,Igara terrorisant,un,l'\d,Igaras terrorisants,des,les,de l',à l'
_57009269AD603CFD,cbaje4,Igara avide,un,l'\d,Igaras avides,des,les,de l',à l'
_29E83BA829078F62,cbajf5,Kim-kol,un,le,Kim-kols,des,les,du,au
_469CC926342DB4F3,cbbda1,Izam novice,un,l'\d,Izams novices,des,les,de l',à l'
_30704129E8D7072F,cbbda2,Izam secondaire,un,l'\d,Izams secondaires,des,les,de l',à l'
_ED0F6125A787F72F,cbbda3,Izam tempéré,un,l'\d,Izams tempérés,des,les,de l',à l'
_899F85E7F292FAFF,cbbda4,Izam grandissant,un,l'\d,Izams grandissants,des,les,de l',à l'
_AD8F111C2A27EF30,cbbdb1,Izam repu,un,l'\d,Izams repus,des,les,de l',à l'
_303001162B792F30,cbbdb2,Izam commun,un,l'\d,Izams communs,des,les,de l',à l'
_0501FD037270F6FA,cbbdb3,Izam gavé,un,l'\d,Izams gavés,des,les,de l',à l'
_189624FA6FE8375C,cbbdb4,Izam intimidant,un,l'\d,Izams intimidants,des,les,de l',à l'
_3F6E39F6A28AC019,cbbdc1,Izam vigilant,un,l'\d,Izams vigilants,des,les,de l',à l'
_F2B14518AB98F731,cbbdc2,Izam vorace,un,l'\d,Izams voraces,des,les,de l',à l'
_C5555E25FF5E74F6,cbbdc3,Izam pilleur,un,l'\d,Izams pilleurs,des,les,de l',à l'
_899F85EFEEB0FA01,cbbdc4,Izam pénétrant,un,l'\d,Izams pénétrants,des,les,de l',à l'
_05DF0DE774B2EE19,cbbde1,Izam pourchassant,un,l'\d,Izams pourchassants,des,les,de l',à l'
_436F2D0123998021,cbbde2,Izam instable,un,l'\d,Izams instables,des,les,de l',à l'
_2871A9610F2AEC63,cbbde3,Izam terrorisant,un,l'\d,Izams terrorisants,des,les,de l',à l'
_C40D9149330FD0F9,cbbde4,Izam avide,un,l'\d,Izams avides,des,les,de l',à l'
_A618A87B2157EF97,cbbde5,Dylion,un,le,Dylions,des,les,du,au
_C79CC926342DB4F3,cbbja1,Izam novice,un,l'\d,Izams novices,des,les,de l',à l'
_B1704129E8D7072F,cbbja2,Izam secondaire,un,l'\d,Izams secondaires,des,les,de l',à l'
_6E0F6125A787F72F,cbbja3,Izam tempéré,un,l'\d,Izams tempérés,des,les,de l',à l'
_0A9F85E7F292FAFF,cbbja4,Izam grandissant,un,l'\d,Izams grandissants,des,les,de l',à l'
_2E8F111C2A27EF30,cbbjb1,Izam repu,un,l'\d,Izams repus,des,les,de l',à l'
_B13001162B792F30,cbbjb2,Izam commun,un,l'\d,Izams communs,des,les,de l',à l'
_8601FD037270F6FA,cbbjb3,Izam gavé,un,l'\d,Izams gavés,des,les,de l',à l'
_999624FA6FE8375C,cbbjb4,Izam intimidant,un,l'\d,Izams intimidants,des,les,de l',à l'
_C06E39F6A28AC019,cbbjc1,Izam vigilant,un,l'\d,Izams vigilants,des,les,de l',à l'
_73B14518AB98F731,cbbjc2,Izam vorace,un,l'\d,Izams voraces,,les,de l',à l'
_46555E25FF5E74F6,cbbjc3,Izam pilleur,un,l'\d,Izams pilleurs,des,les,de l',à l'
_0A9F85EFEEB0FA01,cbbjc4,Izam pénétrant,un,l'\d,Izams pénétrants,des,les,de l',à l'
_86DF0DE774B2EE19,cbbje1,Izam pourchassant,un,l'\d,Izams pourchassants,des,les,de l',à l'
_C46F2D0123998021,cbbje2,Izam instable,un,l'\d,Izams instables,des,les,de l',à l'
_A971A9610F2AEC63,cbbje3,Izam terrorisant,un,l'\d,Izams terrorisants,des,les,de l',à l'
_450D9149330FD0F9,cbbje4,Izam avide,un,l'\d,Izams avides,des,les,de l',à l'
_27E2A16A8D9BDC6D,cbbjf1,Izam agressif,un,l'\d,Izams agressifs,des,les,de l',à l'
_439E111EDC961B17,cbbjf2,Izam furieux,un,l'\d,Izams furieux,des,les,de l',à l'
_47075A2F06DF8CED,cbbjf3,Izam colossal,un,l'\d,Izams colossaux,des,les,de l',à l'
_489CC926342DB4F3,cbbla1,Izam novice,un,l'\d,Izams novices,des,les,de l',à l'
_32704129E8D7072F,cbbla2,Izam secondaire,un,l'\d,Izams secondaires,des,les,de l',à l'
_EF0F6125A787F72F,cbbla3,Izam tempéré,un,l'\d,Izams tempérés,des,les,de l',à l'
_8B9F85E7F292FAFF,cbbla4,Izam grandissant,un,l'\d,Izams grandissants,des,les,de l',à l'
_AF8F111C2A27EF30,cbblb1,Izam repu,un,l'\d,Izams repus,des,les,de l',à l'
_323001162B792F30,cbblb2,Izam commun,un,l'\d,Izams communs,des,les,de l',à l'
_0701FD037270F6FA,cbblb3,Izam gavé,un,l'\d,Izams gavés,des,les,de l',à l'
_1A9624FA6FE8375C,cbblb4,Izam intimidant,un,l'\d,Izams intimidants,des,les,de l',à l'
_416E39F6A28AC019,cbblc1,Izam vigilant,un,l'\d,Izams vigilants,des,les,de l',à l'
_F4B14518AB98F731,cbblc2,Izam vorace,un,l'\d,Izams voraces,des,les,de l',à l'
_C7555E25FF5E74F6,cbblc3,Izam pilleur,un,l'\d,Izams pilleurs,des,les,de l',à l'
_8B9F85EFEEB0FA01,cbblc4,Izam pénétrant,un,l'\d,Izams pénétrants,des,les,de l',à l'
_0F5F3DEBF0F2EE1A,cbbld1,Izam brutal,un,l'\d,Izams brutaux,des,les,de l',à l'
_090CB14171EEC0EE,cbbld2,Izam malveillant,un,l'\d,Izams malveillants,des,les,de l',à l'
_8B9F4DEBF2D0F602,cbbld3,Izam moqueur,un,l'\d,Izams moqueurs,des,les,de l',à l'
_0B9F8509EC90FA10,cbbld4,Izam charognard,un,l'\d,Izams charognards,des,les,de l',à l'
_499CC926342DB4F3,cbbpa1,Izam novice,un,l'\d,Izams novices,des,les,de l',à l'
_33704129E8D7072F,cbbpa2,Izam secondaire,un,l'\d,Izams secondaires,des,les,de l',à l'
_F00F6125A787F72F,cbbpa3,Izam tempéré,un,l'\d,Izams tempérés,des,les,de l',à l'
_8C9F85E7F292FAFF,cbbpa4,Izam grandissant,un,l'\d,Izams grandissants,des,les,de l',à l'
_B08F111C2A27EF30,cbbpb1,Izam repu,un,l'\d,Izams repus,des,les,de l',à l'
_333001162B792F30,cbbpb2,Izam commun,un,l'\d,Izams communs,des,les,de l',à l'
_0801FD037270F6FA,cbbpb3,Izam gavé,un,l'\d,Izams gavés,des,les,de l',à l'
_1B9624FA6FE8375C,cbbpb4,Izam intimidant,un,l'\d,Izams intimidants,des,les,de l',à l'
_426E39F6A28AC019,cbbpc1,Izam vigilant,un,l'\d,Izams vigilants,des,les,de l',à l'
_F5B14518AB98F731,cbbpc2,Izam vorace,un,l'\d,Izams voraces,des,les,de l',à l'
_C8555E25FF5E74F6,cbbpc3,Izam pilleur,un,l'\d,Izams pilleurs,des,les,de l',à l'
