*HASH_VALUE	sbrick ID	name	named	p	pd	* noms français	ia	da	pia	pda	description	description2
_D2F8472D51380703	BFMD07	Blutungsangriff 7	Blutungsangriff 7	Blutungsangriffe 7	Blutungsangriffe 7		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 140.	Blutungsangriff 7, max. Faktor: $2BLEED_FACTOR
_1318472D92480B03	BFMD08	Blutungsangriff 8	Blutungsangriff 8	Blutungsangriffe 8	Blutungsangriffe 8		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 165.	Blutungsangriff 8, max. Faktor: $2BLEED_FACTOR
_D2B84B2DD2580F03	BFMD09	Blutungsangriff 9	Blutungsangriff 9	Blutungsangriffe 9	Blutungsangriffe 9		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 200.	Blutungsangriff 9, max. Faktor: $2BLEED_FACTOR
_ED5A77B875A2E253	BFMD10	Blutungsangriff 10	Blutungsangriff 10	Blutungsangriffe 10	Blutungsangriffe 10		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 235.	Blutungsangriff 10, max. Faktor: $2BLEED_FACTOR
_EE5A77BA75A2E653	BFMD11	Blutungsangriff 11	Blutungsangriff 11	Blutungsangriffe 11	Blutungsangriffe 11		eine	die		die	Verursacht eine stark blutende Wunde (basierend auf dem Schaden des vorausgehenden Blutangriffs) für 10s - Maximale Effizienz bis zur Waffenqualität 275.	Blutungsangriff 11, max. Faktor: $2BLEED_FACTOR
_FB23D9FEEEB2F0F1	BFCA01	Ausdauerabzug 1	Ausdauerabzug 1	Ausdauerabzüge 1	Ausdauerabzüge 1		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 6	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA1191CCDA	BFCA02	Ausdauerabzug 2	Ausdauerabzug 2	Ausdauerabzüge 2	Ausdauerabzüge 2		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 10	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA1101D0DB	BFCA03	Ausdauerabzug 3	Ausdauerabzug 3	Ausdauerabzüge 3	Ausdauerabzüge 3		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 16	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA11B1D8DC	BFCA04	Ausdauerabzug 4	Ausdauerabzug 4	Ausdauerabzüge 4	Ausdauerabzüge 4		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 20	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA1121DCDD	BFCA05	Ausdauerabzug 5	Ausdauerabzug 5	Ausdauerabzüge 5	Ausdauerabzüge 5		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 26	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA11D1E4DE	BFCA06	Ausdauerabzug 6	Ausdauerabzug 6	Ausdauerabzüge 6	Ausdauerabzüge 6		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 30	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA11E1ECDF	BFCA07	Ausdauerabzug 7	Ausdauerabzug 7	Ausdauerabzüge 7	Ausdauerabzüge 7		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 40	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA11F1F4E0	BFCA08	Ausdauerabzug 8	Ausdauerabzug 8	Ausdauerabzüge 8	Ausdauerabzüge 8		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 50	Ausdauer-Abzug zum Ausgleich von Optionen
_8E9224BA1161FCE1	BFCA09	Ausdauerabzug 9	Ausdauerabzug 9	Ausdauerabzüge 9	Ausdauerabzüge 9		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 66	Ausdauer-Abzug zum Ausgleich von Optionen
_736A4DC80A3C7E15	BFCA10	Ausdauerabzug 10	Ausdauerabzug 10	Ausdauerabzüge 10	Ausdauerabzüge 10		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 80	Ausdauer-Abzug zum Ausgleich von Optionen
_613200C383325EE8	BFCA11	Ausdauerabzug 11	Ausdauerabzug 11	Ausdauerabzüge 11	Ausdauerabzüge 11		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 100	Ausdauer-Abzug zum Ausgleich von Optionen
_613200C5C34262E8	BFCA12	Ausdauerabzug 12	Ausdauerabzug 12	Ausdauerabzüge 12	Ausdauerabzüge 12		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 120	Ausdauer-Abzug zum Ausgleich von Optionen
_613200C7035266E8	BFCA13	Ausdauerabzug 13	Ausdauerabzug 13	Ausdauerabzüge 13	Ausdauerabzüge 13		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 140	Ausdauer-Abzug zum Ausgleich von Optionen
_613200C944626AE8	BFCA14	Ausdauerabzug 14	Ausdauerabzug 14	Ausdauerabzüge 14	Ausdauerabzüge 14		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 160	Ausdauer-Abzug zum Ausgleich von Optionen
_613200CB84726EE8	BFCA15	Ausdauerabzug 15	Ausdauerabzug 15	Ausdauerabzüge 15	Ausdauerabzüge 15		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 180	Ausdauer-Abzug zum Ausgleich von Optionen
_613200C3048272E8	BFCA16	Ausdauerabzug 16	Ausdauerabzug 16	Ausdauerabzüge 16	Ausdauerabzüge 16		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 200	Ausdauer-Abzug zum Ausgleich von Optionen
_613218C5449276E8	BFCA17	Ausdauerabzug 17	Ausdauerabzug 17	Ausdauerabzüge 17	Ausdauerabzüge 17		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 226	Ausdauer-Abzug zum Ausgleich von Optionen
_613200C885A27AE8	BFCA18	Ausdauerabzug 18	Ausdauerabzug 18	Ausdauerabzüge 18	Ausdauerabzüge 18		ein	der		die	Verbraucht Ausdauer im Wert von $0STA_WEIGHT_FACTOR x Waffengewicht, bringt dafür Ausgleich im Wert von 250	Ausdauer-Abzug zum Ausgleich von Optionen
_083E583067C3077C	BFCB01	Lebensabzug 1	Lebensabzug 1	Lebensabzüge 1	Lebensabzüge 1		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 10 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_083E5830A7D30B7C	BFCB02	Lebensabzug 2	Lebensabzug 2	Lebensabzüge 2	Lebensabzüge 2		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 20 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_083E5835E7E30F7C	BFCB03	Lebensabzug 3	Lebensabzug 3	Lebensabzüge 3	Lebensabzüge 3		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 35 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_083E583068F3137C	BFCB04	Lebensabzug 4	Lebensabzug 4	Lebensabzüge 4	Lebensabzüge 4		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 50 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_083E5835E803177C	BFCB05	Lebensabzug 5	Lebensabzug 5	Lebensabzüge 5	Lebensabzüge 5		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 75 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_38F25511B222DB32	BFCB06	Lebensabzug 6	Lebensabzug 6	Lebensabzüge 6	Lebensabzüge 6		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 100 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_38F26913B232DF32	BFCB07	Lebensabzug 7	Lebensabzug 7	Lebensabzüge 7	Lebensabzüge 7		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 125 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_38F25516B242E332	BFCB08	Lebensabzug 8	Lebensabzug 8	Lebensabzüge 8	Lebensabzüge 8		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 150 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_38F26918B252E732	BFCB09	Lebensabzug 9	Lebensabzug 9	Lebensabzüge 9	Lebensabzüge 9		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 175 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_94F667E30FB27EDE	BFCB10	Lebensabzug 10	Lebensabzug 10	Lebensabzüge 10	Lebensabzüge 10		ein	der		die	Verbraucht $|HP Punkte Lebenskraft, bringt dafür 200 Punkte Ausgleich	Verbraucht $|HP Lebenskraft als Ausgleich
_0D1C4816003FD121	BFCC01	Angriff nach Ausweichen 1	Angriff nach Ausweichen 1	Angriffe nach Ausweichen 1	Angriffe nach Ausweichen 1		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 10	Angriff nur nach Ausweichen zum Ausgleich
_0D2C4C17003FD521	BFCC02	Angriff nach Ausweichen 2	Angriff nach Ausweichen 2	Angriffe nach Ausweichen 2	Angriffe nach Ausweichen 2		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 20	Angriff nur nach Ausweichen zum Ausgleich
_0D8C5018003FD921	BFCC03	Angriff nach Ausweichen 3	Angriff nach Ausweichen 3	Angriffe nach Ausweichen 3	Angriffe nach Ausweichen 3		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 35	Angriff nur nach Ausweichen zum Ausgleich
_0D4C5819003FDD21	BFCC04	Angriff nach Ausweichen 4	Angriff nach Ausweichen 4	Angriffe nach Ausweichen 4	Angriffe nach Ausweichen 4		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 50	Angriff nur nach Ausweichen zum Ausgleich
_0DAC601A003FE121	BFCC05	Angriff nach Ausweichen 5	Angriff nach Ausweichen 5	Angriffe nach Ausweichen 5	Angriffe nach Ausweichen 5		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 75	Angriff nur nach Ausweichen zum Ausgleich
_71A829F813000587	BFCC06	Angriff nach Ausweichen 6	Angriff nach Ausweichen 6	Angriffe nach Ausweichen 6	Angriffe nach Ausweichen 6		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 100	Angriff nur nach Ausweichen zum Ausgleich
_B2D82DF813000987	BFCC07	Angriff nach Ausweichen 7	Angriff nach Ausweichen 7	Angriffe nach Ausweichen 7	Angriffe nach Ausweichen 7		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 125	Angriff nur nach Ausweichen zum Ausgleich
_711831F813000D87	BFCC08	Angriff nach Ausweichen 8	Angriff nach Ausweichen 8	Angriffe nach Ausweichen 8	Angriffe nach Ausweichen 8		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 150	Angriff nur nach Ausweichen zum Ausgleich
_715835F813001187	BFCC09	Angriff nach Ausweichen 9	Angriff nach Ausweichen 9	Angriffe nach Ausweichen 9	Angriffe nach Ausweichen 9		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 180	Angriff nur nach Ausweichen zum Ausgleich
_22EBD19E572BB7EC	BFCC10	Angriff nach Ausweichen 10	Angriff nach Ausweichen 10	Angriffe nach Ausweichen 10	Angriffe nach Ausweichen 10		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 215	Angriff nur nach Ausweichen zum Ausgleich
_A3EBD19E572BBBE7	BFCC11	Angriff nach Ausweichen 11	Angriff nach Ausweichen 11	Angriffe nach Ausweichen 11	Angriffe nach Ausweichen 11		ein	der		die	Der Angriff kann nur nach erfolgreichem Ausweichen ausgeführt werden, bringt dafür Ausgleich im Wert von 250	Angriff nur nach Ausweichen zum Ausgleich
_CEDD482AC812FD2D	BFCD01	Angriff nach Abwehren 1	Angriff nach Abwehren 1	Angriffe nach Abwehren 1	Angriffe nach Abwehren 1		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 10	Angriff nur nach Abwehren zum Ausgleich
_CEED4C2BC812012D	BFCD02	Angriff nach Abwehren 2	Angriff nach Abwehren 2	Angriffe nach Abwehren 2	Angriffe nach Abwehren 2		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 20	Angriff nur nach Abwehren zum Ausgleich
_CE4D502CC812052D	BFCD03	Angriff nach Abwehren 3	Angriff nach Abwehren 3	Angriffe nach Abwehren 3	Angriffe nach Abwehren 3		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 35	Angriff nur nach Abwehren zum Ausgleich
_CE0D582DC812092D	BFCD04	Angriff nach Abwehren 4	Angriff nach Abwehren 4	Angriffe nach Abwehren 4	Angriffe nach Abwehren 4		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 50	Angriff nur nach Abwehren zum Ausgleich
_CE6D602EC8120D2D	BFCD05	Angriff nach Abwehren 5	Angriff nach Abwehren 5	Angriffe nach Abwehren 5	Angriffe nach Abwehren 5		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 75	Angriff nur nach Abwehren zum Ausgleich
_B8A8290CE0433D77	BFCD06	Angriff nach Abwehren 6	Angriff nach Abwehren 6	Angriffe nach Abwehren 6	Angriffe nach Abwehren 6		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 100	Angriff nur nach Abwehren zum Ausgleich
_F9D82D0CE0434177	BFCD07	Angriff nach Abwehren 7	Angriff nach Abwehren 7	Angriffe nach Abwehren 7	Angriffe nach Abwehren 7		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 125	Angriff nur nach Abwehren zum Ausgleich
_B818310CE0434577	BFCD08	Angriff nach Abwehren 8	Angriff nach Abwehren 8	Angriffe nach Abwehren 8	Angriffe nach Abwehren 8		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 150	Angriff nur nach Abwehren zum Ausgleich
_B858350CE0434977	BFCD09	Angriff nach Abwehren 9	Angriff nach Abwehren 9	Angriffe nach Abwehren 9	Angriffe nach Abwehren 9		ein	der		die	Der Angriff kann nur nach erfolgreichem Abwehren ausgeführt werden, bringt dafür Ausgleich im Wert von 180	Angriff nur nach Abwehren zum Ausgleich
